Student_ID,Quiz_ID,Topic,Difficulty,Score,Time_Taken
Student_1,Quiz_92,Geography,Medium,72.56,41.25
Student_1,Quiz_93,English,Medium,62.65,19.39
Student_1,Quiz_94,Physics,Medium,79.74,21.34
Student_1,Quiz_95,English,Hard,96.68,48.88
Student_1,Quiz_96,History,Hard,53.87,18.06
Student_1,Quiz_97,History,Easy,83.36,59.15
Student_1,Quiz_98,History,Easy,64.95,6.81
Student_1,Quiz_99,Biology,Hard,49.52,59.56
Student_1,Quiz_100,Physics,Hard,90.34,31.89
Student_2,Quiz_1,History,Hard,13.96,30.75
Student_2,Quiz_2,Biology,Medium,83.09,20.79
Student_2,Quiz_3,Geography,Hard,24.87,22.86
Student_2,Quiz_4,Physics,Medium,6.16,28.75
Student_2,Quiz_5,Geography,Hard,57.75,9.01
Student_2,Quiz_6,Geography,Hard,95.56,30.61
Student_2,Quiz_7,History,Medium,71.31,56.06
Student_2,Quiz_8,Chemistry,Hard,22.63,50.92
Student_2,Quiz_9,English,Easy,73.8,22.99
Student_2,Quiz_10,History,Easy,36.08,15.46
Student_2,Quiz_11,Chemistry,Hard,46.94,37.88
Student_2,Quiz_12,Chemistry,Easy,59.71,49.42
Student_2,Quiz_13,Physics,Hard,66.77,16.43
Student_2,Quiz_14,Math,Easy,81.01,52.52
Student_2,Quiz_15,Biology,Easy,98.57,58.76
Student_2,Quiz_16,Physics,Easy,96.63,29.11
Student_2,Quiz_17,History,Easy,0.45,24.22
Student_2,Quiz_18,Physics,Easy,77.28,30.85
Student_2,Quiz_19,Chemistry,Medium,35.25,48.45
Student_2,Quiz_20,Physics,Easy,21.07,17.1
Student_2,Quiz_21,Math,Medium,36.57,27.1
Student_2,Quiz_22,Biology,Medium,74.78,57.03
Student_2,Quiz_23,English,Easy,27.65,15.67
Student_2,Quiz_24,Geography,Medium,63.5,51.67
Student_2,Quiz_25,Physics,Easy,65.77,51.7
Student_2,Quiz_26,Geography,Hard,69.21,19.82
Student_2,Quiz_27,English,Medium,48.28,30.17
Student_2,Quiz_28,Biology,Easy,88.89,31.87
Student_2,Quiz_29,Math,Easy,2.96,52.81
Student_2,Quiz_30,Physics,Medium,37.38,43.02
Student_2,Quiz_31,Math,Hard,3.73,26.72
Student_2,Quiz_32,History,Hard,86.3,27.63
Student_2,Quiz_33,Geography,Easy,90.13,43.08
Student_2,Quiz_34,Math,Easy,29.49,5.4
Student_2,Quiz_35,English,Hard,23.68,35.5
Student_2,Quiz_36,Biology,Hard,58.27,58.38
Student_2,Quiz_37,English,Medium,91.16,45.31
Student_2,Quiz_38,Geography,Medium,73.01,25.63
Student_2,Quiz_39,Math,Hard,33.48,34.15
Student_2,Quiz_40,Chemistry,Easy,86.49,44.39
Student_2,Quiz_41,Physics,Medium,73.64,37.22
Student_2,Quiz_42,History,Medium,69.58,58.27
Student_2,Quiz_43,Biology,Hard,77.22,18.39
Student_2,Quiz_44,Math,Medium,73.42,53.17
Student_2,Quiz_45,History,Easy,32.72,34.39
Student_2,Quiz_46,Physics,Hard,15.55,44.23
Student_2,Quiz_47,Physics,Easy,0.42,22.21
Student_2,Quiz_48,Chemistry,Medium,71.54,40.37
Student_2,Quiz_49,Math,Medium,47.55,11.1
Student_2,Quiz_50,Chemistry,Hard,5.34,56.93
Student_2,Quiz_51,Math,Medium,24.33,10.59
Student_2,Quiz_52,Physics,Hard,87.88,49.57
Student_2,Quiz_53,Math,Medium,37.46,59.5
Student_2,Quiz_54,Geography,Medium,80.45,32.84
Student_2,Quiz_55,History,Hard,57.55,26.93
Student_2,Quiz_56,Biology,Medium,66.71,45.87
Student_2,Quiz_57,Math,Hard,73.93,44.91
Student_2,Quiz_58,Math,Easy,9.56,9.93
Student_2,Quiz_59,Biology,Hard,31.36,41.43
Student_2,Quiz_60,English,Hard,50.26,30.1
Student_2,Quiz_61,Chemistry,Hard,26.6,47.76
Student_2,Quiz_62,Physics,Medium,95.79,58.98
Student_2,Quiz_63,Biology,Hard,88.27,59.74
Student_2,Quiz_64,English,Hard,78.06,39.86
Student_2,Quiz_65,Biology,Hard,71.71,41.26
Student_2,Quiz_66,Chemistry,Hard,65.72,38.99
Student_2,Quiz_67,History,Hard,16.4,36.66
Student_2,Quiz_68,English,Easy,99.28,56.58
Student_2,Quiz_69,Biology,Easy,67.62,8.4
Student_2,Quiz_70,Physics,Medium,92.76,25.86
Student_2,Quiz_71,Biology,Easy,33.85,6.74
Student_2,Quiz_72,History,Medium,31.36,25.48
Student_2,Quiz_73,Geography,Medium,6.25,5.21
Student_2,Quiz_74,Math,Hard,63.53,32.3
Student_2,Quiz_75,Physics,Hard,99.75,20.15
Student_2,Quiz_76,Math,Easy,78.24,45.61
Student_2,Quiz_77,Math,Medium,49.21,5.71
Student_2,Quiz_78,Geography,Medium,69.22,16.26
Student_2,Quiz_79,Math,Easy,27.85,5.26
Student_2,Quiz_80,Biology,Easy,7.85,39.08
Student_2,Quiz_81,Physics,Easy,58.27,45.64
Student_2,Quiz_82,Chemistry,Medium,69.09,56.36
Student_2,Quiz_83,English,Hard,53.76,53.26
Student_2,Quiz_84,Chemistry,Easy,99.19,44.25
Student_2,Quiz_85,Biology,Hard,19.02,59.84
Student_2,Quiz_86,Math,Easy,84.76,16.38
Student_2,Quiz_87,English,Easy,86.78,10.73
Student_2,Quiz_88,Math,Easy,51.08,17.76
Student_2,Quiz_89,Math,Medium,80.62,5.28
Student_2,Quiz_90,Geography,Easy,94.87,59.0
Student_2,Quiz_91,Math,Hard,43.96,8.74
Student_2,Quiz_92,Geography,Medium,28.49,5.66
Student_2,Quiz_93,Math,Easy,5.15,33.46
Student_2,Quiz_94,Physics,Medium,25.04,30.38
Student_2,Quiz_95,English,Medium,29.0,37.69
Student_2,Quiz_96,Physics,Hard,16.98,18.27
Student_2,Quiz_97,Physics,Medium,60.49,24.71
Student_2,Quiz_98,Math,Medium,10.15,43.66
Student_2,Quiz_99,Chemistry,Hard,55.88,25.09
Student_2,Quiz_100,English,Hard,72.4,49.96
Student_3,Quiz_1,Chemistry,Medium,39.01,47.86
Student_3,Quiz_2,Biology,Easy,53.51,36.44
Student_3,Quiz_3,History,Medium,31.27,52.66
Student_3,Quiz_4,Math,Easy,13.37,23.93
Student_3,Quiz_5,Biology,Easy,79.11,10.96
Student_3,Quiz_6,History,Hard,47.49,30.09
Student_3,Quiz_7,Physics,Easy,47.12,54.32
Student_3,Quiz_8,English,Medium,53.26,15.67
Student_3,Quiz_9,English,Medium,74.08,26.69
Student_3,Quiz_10,Physics,Easy,93.16,24.11
Student_3,Quiz_11,Geography,Medium,65.1,56.46
Student_3,Quiz_12,History,Medium,6.83,40.89
Student_3,Quiz_13,Chemistry,Hard,29.15,40.17
Student_3,Quiz_14,Geography,Medium,67.18,57.47
Student_3,Quiz_15,Chemistry,Easy,58.59,37.09
Student_3,Quiz_16,Geography,Hard,11.51,48.15
Student_3,Quiz_17,History,Medium,96.93,43.88
Student_3,Quiz_18,Biology,Medium,7.56,36.18
Student_3,Quiz_19,Math,Medium,45.57,7.08
Student_3,Quiz_20,Physics,Hard,60.44,50.04
Student_3,Quiz_21,English,Medium,58.29,46.68
Student_3,Quiz_22,Biology,Hard,12.79,31.76
Student_3,Quiz_23,Chemistry,Medium,70.15,11.15
Student_3,Quiz_24,Physics,Easy,40.15,52.08
Student_3,Quiz_25,Physics,Hard,94.13,11.33
Student_3,Quiz_26,Physics,Medium,51.15,58.76
Student_3,Quiz_27,Biology,Hard,49.51,45.83
Student_3,Quiz_28,English,Hard,34.79,11.37
Student_3,Quiz_29,English,Hard,81.33,25.82
Student_3,Quiz_30,History,Hard,61.1,38.62
Student_3,Quiz_31,Biology,Medium,68.26,24.09
Student_3,Quiz_32,Chemistry,Easy,68.76,8.47
Student_3,Quiz_33,Physics,Hard,3.11,48.47
Student_3,Quiz_34,English,Easy,11.56,17.9
Student_3,Quiz_35,Biology,Hard,59.17,42.92
Student_3,Quiz_36,English,Easy,36.23,24.07
Student_3,Quiz_37,History,Medium,47.87,32.8
Student_3,Quiz_38,Chemistry,Medium,37.72,53.03
Student_3,Quiz_39,Chemistry,Easy,63.31,18.34
Student_3,Quiz_40,Physics,Hard,40.56,19.47
Student_3,Quiz_41,History,Hard,21.84,9.85
Student_3,Quiz_42,Physics,Hard,97.56,55.57
Student_3,Quiz_43,English,Hard,99.69,31.02
Student_3,Quiz_44,Math,Easy,67.35,12.17
Student_3,Quiz_45,Biology,Medium,5.42,39.05
Student_3,Quiz_46,Biology,Hard,40.29,9.02
Student_3,Quiz_47,Chemistry,Medium,6.01,47.99
Student_3,Quiz_48,Biology,Easy,82.4,17.42
Student_3,Quiz_49,Biology,Easy,37.72,8.14
Student_3,Quiz_50,English,Hard,95.98,58.3
Student_3,Quiz_51,History,Medium,52.45,33.37
Student_3,Quiz_52,History,Hard,22.28,32.49
Student_3,Quiz_53,Biology,Medium,57.31,58.25
Student_3,Quiz_54,English,Hard,74.94,54.77
Student_3,Quiz_55,History,Hard,7.18,21.72
Student_3,Quiz_56,Chemistry,Hard,10.69,56.26
Student_3,Quiz_57,History,Hard,5.92,14.1
Student_3,Quiz_58,History,Hard,80.63,57.45
Student_3,Quiz_59,Physics,Hard,39.54,38.89
Student_3,Quiz_60,Geography,Hard,80.16,11.56
Student_3,Quiz_61,Geography,Hard,2.03,55.12
Student_3,Quiz_62,Physics,Hard,7.16,9.28
Student_3,Quiz_63,History,Medium,19.13,41.85
Student_3,Quiz_64,Geography,Easy,39.91,50.03
Student_3,Quiz_65,Chemistry,Medium,14.86,31.9
Student_3,Quiz_66,History,Easy,1.42,27.92
Student_3,Quiz_67,History,Hard,1.96,15.07
Student_3,Quiz_68,Biology,Medium,31.11,35.54
Student_3,Quiz_69,Biology,Hard,80.12,18.57
Student_3,Quiz_70,Biology,Easy,1.01,46.15
Student_3,Quiz_71,Biology,Easy,76.32,14.89
Student_3,Quiz_72,Math,Medium,5.87,24.27
Student_3,Quiz_73,English,Easy,43.51,59.46
Student_3,Quiz_74,Math,Easy,95.61,15.41
Student_3,Quiz_75,Math,Medium,75.32,36.02
Student_3,Quiz_76,History,Medium,76.08,7.64
Student_3,Quiz_77,Physics,Medium,10.01,23.27
Student_3,Quiz_78,History,Easy,5.99,30.43
Student_3,Quiz_79,Biology,Hard,29.41,11.77
Student_3,Quiz_80,Biology,Hard,96.0,35.18
Student_3,Quiz_81,Geography,Medium,69.69,48.38
Student_3,Quiz_82,History,Medium,17.59,17.73
Student_3,Quiz_83,History,Hard,34.73,47.41
Student_3,Quiz_84,Chemistry,Hard,35.31,54.11
Student_3,Quiz_85,Math,Hard,38.68,35.79
Student_3,Quiz_86,Geography,Easy,63.86,40.03
Student_3,Quiz_87,Biology,Easy,19.91,33.59
Student_3,Quiz_88,Chemistry,Easy,58.44,42.25
Student_3,Quiz_89,Biology,Easy,70.51,28.15
Student_3,Quiz_90,English,Medium,31.98,49.45
Student_3,Quiz_91,Biology,Easy,89.56,54.31
Student_3,Quiz_92,Math,Medium,40.7,14.35
Student_3,Quiz_93,Biology,Hard,96.55,17.4
Student_3,Quiz_94,Math,Easy,72.8,33.22
Student_3,Quiz_95,Biology,Medium,87.08,47.46
Student_3,Quiz_96,Geography,Medium,74.15,38.1
Student_3,Quiz_97,Geography,Easy,62.37,42.72
Student_3,Quiz_98,Biology,Medium,72.31,39.47
Student_3,Quiz_99,Physics,Hard,33.0,8.02
Student_3,Quiz_100,Biology,Hard,34.11,36.61
Student_4,Quiz_1,Physics,Medium,16.45,20.1
Student_4,Quiz_2,Math,Medium,34.44,52.4
Student_4,Quiz_3,Physics,Easy,71.22,17.06
Student_4,Quiz_4,Biology,Medium,19.68,59.59
Student_4,Quiz_5,English,Hard,22.66,44.24
Student_4,Quiz_6,Physics,Medium,69.35,34.92
Student_4,Quiz_7,English,Easy,18.21,52.12
Student_4,Quiz_8,History,Easy,79.37,58.09
Student_4,Quiz_9,Biology,Medium,45.31,55.5
Student_4,Quiz_10,Physics,Medium,59.58,49.67
Student_4,Quiz_11,History,Hard,41.95,31.43
Student_4,Quiz_12,English,Easy,49.57,24.61
Student_4,Quiz_13,English,Hard,1.55,41.45
Student_4,Quiz_14,Chemistry,Easy,59.19,50.47
Student_4,Quiz_15,Chemistry,Easy,79.72,33.22
Student_4,Quiz_16,Geography,Hard,31.71,38.62
Student_4,Quiz_17,Biology,Easy,73.04,50.78
Student_4,Quiz_18,Geography,Medium,46.76,58.38
Student_4,Quiz_19,History,Easy,68.72,22.09
Student_4,Quiz_20,Physics,Easy,63.06,25.62
Student_4,Quiz_21,Physics,Easy,37.57,44.96
Student_4,Quiz_22,Math,Medium,0.43,47.15
Student_4,Quiz_23,Geography,Hard,58.39,29.12
Student_4,Quiz_24,Biology,Medium,96.59,20.36
Student_4,Quiz_25,Physics,Easy,91.68,56.59
Student_4,Quiz_26,Chemistry,Hard,32.87,44.14
Student_4,Quiz_27,Physics,Easy,14.5,43.99
Student_4,Quiz_28,History,Easy,35.58,44.85
Student_4,Quiz_29,Biology,Hard,71.64,37.16
Student_4,Quiz_30,English,Easy,33.91,49.02
Student_4,Quiz_31,Geography,Easy,62.37,39.83
Student_4,Quiz_32,Biology,Easy,73.75,34.96
Student_4,Quiz_33,Chemistry,Hard,31.95,17.19
Student_4,Quiz_34,History,Easy,18.05,25.9
Student_4,Quiz_35,Math,Hard,80.75,46.73
Student_4,Quiz_36,Geography,Medium,19.64,13.15
Student_4,Quiz_37,Geography,Easy,59.27,44.87
Student_4,Quiz_38,Math,Hard,44.8,10.95
Student_4,Quiz_39,Chemistry,Medium,41.06,47.54
Student_4,Quiz_40,English,Hard,10.8,56.3
Student_4,Quiz_41,Biology,Hard,47.99,15.92
Student_4,Quiz_42,Physics,Easy,28.95,34.1
Student_4,Quiz_43,Math,Medium,11.21,56.74
Student_4,Quiz_44,Chemistry,Easy,15.33,51.68
Student_4,Quiz_45,Biology,Easy,41.95,45.36
Student_4,Quiz_46,Biology,Easy,49.8,24.71
Student_4,Quiz_47,History,Hard,31.99,38.99
Student_4,Quiz_48,Biology,Medium,75.59,48.02
Student_4,Quiz_49,Math,Hard,35.83,45.55
Student_4,Quiz_50,Math,Hard,1.88,16.34
Student_4,Quiz_51,Geography,Easy,91.0,5.15
Student_4,Quiz_52,Chemistry,Medium,37.38,34.54
Student_4,Quiz_53,Chemistry,Medium,64.34,10.72
Student_4,Quiz_54,Geography,Easy,62.29,43.38
Student_4,Quiz_55,English,Easy,22.63,13.44
Student_4,Quiz_56,Geography,Easy,28.16,54.66
Student_4,Quiz_57,Geography,Easy,74.88,55.49
Student_4,Quiz_58,History,Easy,29.61,31.91
Student_4,Quiz_59,Biology,Medium,0.31,56.93
Student_4,Quiz_60,Math,Hard,48.08,56.32
Student_4,Quiz_61,Physics,Hard,97.29,39.8
Student_4,Quiz_62,Chemistry,Medium,3.22,35.59
Student_4,Quiz_63,Physics,Medium,78.3,9.4
Student_4,Quiz_64,Biology,Easy,22.84,28.89
Student_4,Quiz_65,English,Easy,0.62,45.1
Student_4,Quiz_66,Biology,Medium,83.48,34.15
Student_4,Quiz_67,Chemistry,Hard,60.81,51.84
Student_4,Quiz_68,History,Medium,4.98,55.29
Student_4,Quiz_69,Geography,Medium,97.76,38.14
Student_4,Quiz_70,History,Medium,53.26,58.34
Student_4,Quiz_71,Math,Hard,39.52,20.03
Student_4,Quiz_72,Math,Easy,48.56,31.09
Student_4,Quiz_73,History,Hard,22.77,5.66
Student_4,Quiz_74,English,Medium,46.58,15.92
Student_4,Quiz_75,History,Easy,57.37,51.74
Student_4,Quiz_76,History,Hard,67.58,17.25
Student_4,Quiz_77,Chemistry,Easy,92.84,32.09
Student_4,Quiz_78,Geography,Easy,13.26,35.07
Student_4,Quiz_79,English,Medium,69.29,24.18
Student_4,Quiz_80,Geography,Medium,83.08,20.07
Student_4,Quiz_81,Physics,Hard,82.17,28.72
Student_4,Quiz_82,Biology,Medium,84.0,18.36
Student_4,Quiz_83,Geography,Hard,67.79,19.33
Student_4,Quiz_84,History,Hard,71.83,58.71
Student_4,Quiz_85,Physics,Hard,72.27,8.34
Student_4,Quiz_86,Math,Easy,57.81,13.13
Student_4,Quiz_87,Biology,Hard,75.43,5.98
Student_4,Quiz_88,English,Easy,44.96,42.12
Student_4,Quiz_89,English,Medium,18.53,32.02
Student_4,Quiz_90,History,Easy,9.06,45.1
Student_4,Quiz_91,Math,Medium,53.42,29.29
Student_4,Quiz_92,Chemistry,Medium,4.56,47.76
Student_4,Quiz_93,Geography,Hard,66.99,38.04
Student_4,Quiz_94,Biology,Hard,91.44,51.17
Student_4,Quiz_95,English,Hard,75.01,49.91
Student_4,Quiz_96,History,Easy,96.44,48.24
Student_4,Quiz_97,English,Easy,74.54,58.13
Student_4,Quiz_98,Math,Medium,24.29,34.41
Student_4,Quiz_99,Math,Medium,51.14,6.66
Student_4,Quiz_100,English,Easy,30.03,17.27
Student_5,Quiz_1,Physics,Hard,13.51,58.87
Student_5,Quiz_2,Geography,Medium,56.88,19.85
Student_5,Quiz_3,Physics,Easy,91.95,44.57
Student_5,Quiz_4,Geography,Easy,63.16,48.96
Student_5,Quiz_5,History,Medium,82.71,48.12
Student_5,Quiz_6,History,Hard,17.87,49.6
Student_5,Quiz_7,Physics,Hard,46.27,43.31
Student_5,Quiz_8,Biology,Medium,8.47,25.41
Student_5,Quiz_9,Chemistry,Hard,50.14,6.48
Student_5,Quiz_10,English,Medium,84.35,56.16
Student_5,Quiz_11,Math,Medium,66.17,38.67
Student_5,Quiz_12,English,Easy,28.96,45.97
Student_5,Quiz_13,Geography,Hard,70.96,53.23
Student_5,Quiz_14,English,Hard,21.59,32.15
Student_5,Quiz_15,Math,Hard,40.38,41.84
Student_5,Quiz_16,Geography,Hard,41.87,46.13
Student_5,Quiz_17,Biology,Easy,90.16,37.24
Student_5,Quiz_18,Geography,Medium,3.99,45.26
Student_5,Quiz_19,Chemistry,Easy,83.7,51.66
Student_5,Quiz_20,Physics,Hard,75.86,34.73
Student_5,Quiz_21,Chemistry,Easy,78.81,53.89
Student_5,Quiz_22,Geography,Easy,91.57,20.3
Student_5,Quiz_23,Biology,Hard,54.42,52.97
Student_5,Quiz_24,English,Easy,28.94,16.24
Student_5,Quiz_25,Math,Hard,63.44,45.57
Student_5,Quiz_26,Physics,Hard,61.31,44.41
Student_5,Quiz_27,Chemistry,Hard,52.71,10.42
Student_5,Quiz_28,English,Hard,22.04,25.21
Student_5,Quiz_29,Biology,Easy,31.65,48.12
Student_5,Quiz_30,English,Medium,65.06,38.18
Student_5,Quiz_31,Math,Medium,96.24,35.13
Student_5,Quiz_32,Geography,Medium,62.29,40.08
Student_5,Quiz_33,Math,Medium,20.84,58.34
Student_5,Quiz_34,Math,Medium,38.41,17.25
Student_5,Quiz_35,History,Medium,68.33,8.11
Student_5,Quiz_36,Biology,Easy,26.09,11.5
Student_5,Quiz_37,English,Medium,54.31,8.37
Student_5,Quiz_38,Physics,Medium,25.55,17.75
Student_5,Quiz_39,Biology,Hard,87.65,9.44
Student_5,Quiz_40,History,Medium,69.47,9.65
Student_5,Quiz_41,Chemistry,Easy,53.76,25.58
Student_5,Quiz_42,Physics,Medium,2.11,44.14
Student_5,Quiz_43,English,Medium,54.98,40.77
Student_5,Quiz_44,Math,Easy,49.13,25.05
Student_5,Quiz_45,Biology,Medium,14.87,55.11
Student_5,Quiz_46,Math,Medium,37.66,56.64
Student_5,Quiz_47,English,Hard,33.48,20.67
Student_5,Quiz_48,History,Easy,49.61,46.72
Student_5,Quiz_49,Chemistry,Hard,91.58,33.44
Student_5,Quiz_50,Biology,Hard,8.88,19.37
Student_5,Quiz_51,Biology,Hard,74.24,35.12
Student_5,Quiz_52,Chemistry,Medium,22.78,34.11
Student_5,Quiz_53,English,Easy,64.74,27.9
Student_5,Quiz_54,Biology,Hard,52.23,45.89
Student_5,Quiz_55,Geography,Medium,10.72,6.98
Student_5,Quiz_56,Physics,Hard,59.8,38.92
Student_5,Quiz_57,History,Easy,5.35,54.95
Student_5,Quiz_58,Math,Easy,9.53,30.88
Student_5,Quiz_59,Physics,Easy,21.67,47.09
Student_5,Quiz_60,Physics,Hard,6.52,34.58
Student_5,Quiz_61,History,Easy,71.19,31.13
Student_5,Quiz_62,Physics,Medium,96.14,24.46
Student_5,Quiz_63,Chemistry,Easy,51.33,44.07
Student_5,Quiz_64,Physics,Easy,2.36,53.79
Student_5,Quiz_65,English,Hard,76.54,50.81
Student_5,Quiz_66,Biology,Medium,65.49,33.71
Student_5,Quiz_67,Biology,Hard,55.76,21.34
Student_5,Quiz_68,Math,Easy,23.77,53.05
Student_5,Quiz_69,Physics,Hard,84.36,25.19
Student_5,Quiz_70,Math,Hard,18.11,7.54
Student_5,Quiz_71,Geography,Medium,87.43,11.53
Student_5,Quiz_72,Physics,Medium,92.89,40.4
Student_5,Quiz_73,History,Easy,71.97,39.68
Student_5,Quiz_74,Physics,Medium,47.59,55.25
Student_5,Quiz_75,Physics,Hard,13.31,25.05
Student_5,Quiz_76,Chemistry,Hard,52.22,22.88
Student_5,Quiz_77,Physics,Hard,2.12,23.06
Student_5,Quiz_78,Math,Hard,94.87,49.52
Student_5,Quiz_79,Math,Easy,24.04,33.8
Student_5,Quiz_80,Physics,Medium,62.52,48.97
Student_5,Quiz_81,English,Medium,4.28,52.81
Student_5,Quiz_82,Physics,Easy,56.59,38.77
Student_5,Quiz_83,Physics,Easy,57.95,18.87
Student_5,Quiz_84,Chemistry,Medium,40.82,10.65
Student_5,Quiz_85,Math,Easy,85.47,49.15
Student_5,Quiz_86,Physics,Easy,7.14,16.61
Student_5,Quiz_87,Chemistry,Easy,98.81,24.26
Student_5,Quiz_88,English,Medium,56.85,55.3
Student_5,Quiz_89,History,Medium,63.02,35.18
Student_5,Quiz_90,Geography,Hard,82.13,28.76
Student_5,Quiz_91,Math,Hard,32.07,10.3
Student_5,Quiz_92,History,Medium,94.89,40.55
Student_5,Quiz_93,Geography,Easy,53.76,13.02
Student_5,Quiz_94,Math,Medium,2.33,17.79
Student_5,Quiz_95,Biology,Hard,7.19,47.56
Student_5,Quiz_96,Geography,Hard,56.65,33.74
Student_5,Quiz_97,Geography,Hard,20.52,13.09
Student_5,Quiz_98,Chemistry,Medium,62.96,23.38
Student_5,Quiz_99,Chemistry,Hard,13.75,29.54
Student_5,Quiz_100,Physics,Hard,3.99,45.2
Student_6,Quiz_1,Geography,Medium,48.73,56.1
Student_6,Quiz_2,Biology,Medium,11.56,28.01
Student_6,Quiz_3,History,Easy,46.77,20.04
Student_6,Quiz_4,Chemistry,Easy,75.78,46.04
Student_6,Quiz_5,Biology,Hard,87.02,8.77
